"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
248.159,3,2,0,0,17623,0,0,3,0
524.425,4,2,4,375,249,0,0,6,0
55.282,4,2,3,0,17623,0,3,0,3
418.59,3,2,3,99,331,0,0,1,2
649.251,7,2,5,375,249,3,3,3,12
522.915,3,2,1,375,249,0,0,1,2
522.359,6,2,4,375,249,1,1,5,8
751.294,15,2,15,96,115,45,2,8,50
467.445,3,2,1,375,249,0,0,1,2
408.002,3,2,0,40,97,0,0,3,0
685.892,22,2,20,255,57,153,2,4,72
698.985,13,2,13,0,17623,66,0,0,12
545.356,3,2,1,255,57,0,0,1,2
304.494,3,2,2,0,17623,0,0,1,2
558.108,15,2,16,0,17623,91,0,0,14
22.157,4,2,2,0,17623,0,1,2,3
833.058,9,2,6,138,92,3,5,10,18
765.206,11,2,11,99,331,36,0,1,18
207.428,12,2,11,0,17623,36,2,1,27
785.763,4,2,0,17,17,0,1,5,0
170.128,8,2,7,0,17623,3,4,6,15
270.185,4,1,4,0,17623,0,2,1,3
112.747,15,2,25,99,331,66,3,0,36
39.988,3,2,0,0,17623,0,0,3,0
501.31,4,2,3,0,17623,0,2,4,0
119.323,5,2,6,292,122,0,2,4,4
396.216,3,2,5,99,331,0,1,2,0
541.183,4,2,2,40,97,0,0,3,3
245.255,8,2,8,0,17623,6,3,3,16
288.075,4,2,2,0,17623,1,0,1,4
374.045,3,2,2,99,331,0,0,3,0
53.227,3,2,0,255,57,0,0,3,0
383.469,4,2,3,99,331,0,1,5,0
369.891,3,2,4,99,331,0,0,1,2
227.871,6,2,4,111,40,6,0,1,8
370.73,3,2,2,99,331,0,0,3,0
373.909,3,2,2,99,331,0,0,3,0
438.926,5,2,6,99,331,3,0,1,6
173.099,6,2,22,375,249,1,3,3,8
368.233,3,2,2,99,331,0,0,3,0
792.277,7,2,4,0,17623,3,0,6,12
469.668,3,2,3,99,331,0,0,1,2
45.184,4,2,4,292,122,0,0,3,3
476.625,4,2,2,99,331,0,2,4,0
378.516,11,2,12,0,17623,21,2,4,28
363.143,4,2,3,99,331,0,0,3,3
655.92,8,2,7,0,17623,15,0,1,12
224.953,22,3,24,8,49,153,4,2,72
109.699,13,2,23,0,17623,55,0,1,22
356.121,5,2,5,99,331,0,0,6,4
736.755,8,2,11,99,331,10,0,3,15
512.236,17,2,23,0,17623,78,2,4,52
539.511,5,2,4,0,17623,3,0,1,6
349.152,7,2,8,99,331,3,0,6,12
601.633,4,2,5,0,17623,0,1,2,3
546.704,6,2,6,0,17623,6,0,1,8
347.128,4,2,2,99,331,0,0,3,3
347.128,3,2,1,99,331,0,0,3,0
342.753,3,2,1,99,331,0,0,3,0
412.574,23,2,24,0,17623,231,0,0,22
247.359,7,2,6,0,17623,6,1,2,12
461.42,21,2,22,33,71,120,5,5,80
339.74,4,2,2,99,331,0,0,3,3
338.982,3,2,1,99,331,0,0,3,0
81.439,6,3,16,0,17623,6,0,1,8
337.184,3,2,5,99,331,0,0,3,0
694.732,9,3,16,120,90,6,7,3,20
347.968,4,2,7,375,249,3,0,0,3
319.426,10,2,15,99,331,15,2,4,24
293.056,3,2,1,99,331,0,0,3,0
437.947,4,2,5,84,118,1,0,1,4
631.233,8,2,7,96,115,10,0,3,15
33.991,3,2,1,0,17623,0,1,2,0
777.421,4,2,2,0,17623,0,2,4,0
168.65,22,2,24,0,17623,190,0,1,40
569.494,4,2,2,4,6,3,0,0,3
12.086,3,2,2,292,122,0,0,1,2
62.918,4,2,8,0,17623,1,0,1,4
28.252,3,2,2,0,17623,1,0,0,2
218.415,3,2,1,0,17623,0,0,1,2
421.244,3,2,1,375,249,0,0,1,2
377.079,4,2,5,375,249,3,0,0,3
308.809,5,2,5,99,331,0,0,6,4
336.336,7,2,5,0,17623,6,1,2,12
417.068,7,2,8,375,249,10,0,1,10
307.233,7,2,6,0,17623,15,0,0,6
299.915,4,2,4,99,331,0,0,3,3
412.922,6,2,9,84,118,3,2,1,9
18.571,4,2,3,0,17623,1,0,1,4
745.958,11,2,8,17,17,10,3,12,30
48.744,3,2,2,292,122,1,0,0,2
445.423,12,2,13,255,57,28,5,1,32
279.358,3,2,2,99,331,0,0,3,0
96.823,23,2,24,0,17623,231,0,0,22
279.347,4,2,3,99,331,0,0,3,3
293.129,3,2,2,99,331,0,0,3,0
216.262,21,2,20,0,17623,136,0,6,68
4.009,21,2,24,0,17623,136,3,3,68
279.344,3,2,2,99,331,0,0,3,0
265.494,3,2,2,4,2,1,0,0,2
318.146,25,1,23,0,17623,231,0,3,66
143.36,3,2,2,292,122,0,0,3,0
143.351,3,2,1,292,122,0,0,1,2
8.759,19,2,24,0,17623,136,0,1,34
1.814,3,2,24,0,17623,0,0,1,2
2.997,24,2,24,0,17623,153,9,6,108
644.847,15,2,21,18,104,78,0,1,26
434.526,4,2,3,99,331,1,0,1,4
390.2,3,2,2,375,249,0,0,1,2
44.704,25,2,24,0,17623,190,6,4,100
390.012,7,2,10,84,118,3,2,4,12
217.315,3,2,1,255,57,0,0,3,0
275.847,4,2,1,99,331,0,1,5,0
492.96,7,2,13,375,249,10,1,0,10
142.391,20,2,24,0,17623,136,2,1,51
136.408,20,2,23,0,1,153,0,1,36
109.001,17,2,23,0,6,120,0,0,16
130.496,8,2,24,0,17623,10,1,2,15
273.153,4,2,3,99,331,0,0,3,3
378.334,4,2,6,375,249,3,0,0,3
441.548,9,2,13,99,331,10,2,4,20
234.876,19,3,21,4,6,91,5,5,70
212.838,16,2,16,0,17623,78,2,1,39
214.52,24,2,25,0,17623,231,1,0,44
151.859,3,2,4,0,17623,1,0,0,2
56.75,3,2,3,0,17623,1,0,0,2
34.901,4,2,4,0,17623,3,0,0,3
126.355,21,2,25,0,17623,210,0,0,0
271.74,13,2,17,99,331,55,0,1,22
275.813,20,2,22,0,17623,153,0,1,36
662.022,9,2,11,0,56,10,6,0,20
342.511,4,2,1,138,92,0,0,3,3
240.29,21,2,23,138,92,190,0,0,20
338.295,3,2,2,375,249,1,0,0,2
331.169,3,2,1,84,118,0,0,1,2
217.895,3,2,2,99,331,0,1,2,0
668.071,3,2,2,0,17623,0,2,1,0
217.916,3,2,3,99,331,0,0,3,0
302.811,21,2,24,1,40,153,3,0,54
315.768,3,2,1,126,21,0,0,1,2
8.16,3,2,3,0,17623,0,0,1,2
285.712,5,2,3,0,17623,3,1,0,6
100.632,3,2,2,255,57,1,0,0,2
51.926,3,2,2,99,331,0,2,1,0
153.989,9,2,24,99,331,21,0,1,14
15.858,15,2,24,375,249,78,1,0,26
295.237,3,2,2,84,118,0,0,1,2
352.545,6,2,6,84,118,3,0,3,9
292.213,4,2,3,375,249,0,1,2,3
129.851,3,2,2,0,17623,0,0,1,2
103.88,18,2,24,120,90,120,1,0,32
285.832,3,2,2,375,249,0,1,0,2
135.855,3,2,3,99,331,0,0,1,2
165.977,3,2,1,99,331,0,0,3,0
271.522,4,2,2,138,92,0,2,1,3
601.948,6,2,8,0,17623,6,0,1,8
108.643,4,2,3,99,331,1,0,1,4
163.19,5,2,6,99,331,3,0,1,6
399.489,6,2,7,5,10,10,0,0,5
135.92,4,2,10,99,331,1,0,1,4
158.023,5,2,6,99,331,0,1,5,4
151.942,3,2,4,99,331,0,0,3,0
594.167,5,2,4,99,331,0,1,5,4
141.474,3,2,4,99,331,0,0,1,2
137.043,3,2,2,99,331,0,0,3,0
455.229,16,2,16,96,115,45,9,6,60
241.485,5,2,6,138,92,0,2,4,4
132.862,3,2,4,99,331,0,2,1,0
132.082,3,2,2,99,331,0,0,3,0
122.029,3,2,3,99,331,0,0,1,2
122.015,3,2,3,99,331,0,0,3,0
234.17,7,2,13,84,118,3,1,5,12
305.806,4,2,2,40,97,0,2,1,3
59.417,20,2,25,0,2,153,1,0,36
122.062,3,2,3,99,331,0,0,1,2
389.353,5,2,5,0,17623,6,0,0,4
229.431,3,2,1,126,21,0,1,2,0
122.017,4,2,5,99,331,0,1,5,0
410.535,22,2,23,99,331,171,2,1,57
160.686,5,2,4,114,77,0,4,2,4
391.358,8,2,16,375,249,10,2,1,15
24.705,3,2,8,69,10,0,1,0,2
563.221,10,2,10,0,17623,45,0,0,0
295.083,4,2,4,40,97,1,0,1,4
306.595,5,2,9,84,118,6,0,0,4
220.261,3,2,1,84,118,0,0,1,2
74.17,3,2,1,99,331,0,0,1,2
129.245,17,2,20,111,40,66,6,4,60
215.018,4,2,4,4,2,0,2,1,3
110.065,24,2,25,138,92,210,3,0,63
215.944,3,2,1,84,118,0,0,3,0
143.171,3,2,5,0,17623,0,1,0,2
331.093,5,3,7,255,57,3,1,0,6
523.207,18,2,20,99,331,120,0,1,32
102.837,3,2,2,99,331,0,0,3,0
102.818,3,2,3,99,331,0,0,1,2
211.981,5,2,7,138,92,1,1,2,6
93.489,3,2,3,99,331,0,0,1,2
479.279,5,2,3,138,92,3,0,1,6
10.111,3,5,3,255,57,1,0,0,2
281.011,8,2,10,0,17623,21,0,0,7
251.201,7,2,11,138,92,10,1,0,10
226.8,8,2,13,18,104,10,2,1,15
230.484,4,2,2,84,118,0,0,3,3
371.686,5,2,4,99,331,3,0,1,6
47.056,15,2,25,0,17623,78,0,1,26
53.014,3,2,4,99,331,0,0,3,0
84.15,3,2,2,99,331,0,0,3,0
328.094,6,2,8,138,92,6,0,1,8
117.936,16,2,25,6,36,105,0,0,15
187.21,3,2,1,375,249,0,1,2,0
368.033,4,2,1,40,97,0,0,3,3
366.453,15,2,16,18,104,55,4,2,44
67.038,4,2,10,99,331,0,0,3,3
70.365,3,2,2,99,331,0,0,3,0
42.904,3,2,2,3,4,0,1,0,2
341.85,18,2,23,99,331,120,0,1,32
376.001,8,2,9,0,17623,10,2,1,15
391.793,6,2,6,138,92,6,0,1,8
14.3,4,2,9,0,17623,1,0,1,4
123.567,5,2,5,99,331,3,0,1,6
364.387,9,2,11,5,5,10,1,5,20
147.455,17,4,25,6,36,136,0,0,0
71.309,4,2,4,255,57,1,1,0,4
158.818,5,2,6,375,249,6,0,0,4
161.091,3,1,2,84,118,0,0,1,2
515.301,7,2,9,292,122,10,0,1,10
6.438,10,2,21,138,92,21,2,1,21
50.314,3,2,2,99,331,0,0,3,0
50.299,3,2,6,99,331,0,0,3,0
182.862,3,2,5,0,17623,0,1,0,2
495.964,12,2,16,84,118,36,0,3,27
182.689,20,2,25,0,17623,171,0,0,19
41.06,3,2,5,99,331,0,0,1,2
46.145,3,2,4,99,331,0,0,3,0
46.15,3,2,2,99,331,0,0,3,0
44.285,3,2,2,99,331,0,0,3,0
225.884,6,2,7,45,24,3,0,3,9
224.144,13,2,22,40,97,36,4,2,36
78.019,6,2,13,0,23,0,3,7,5
241.752,3,2,3,5,19,0,1,0,2
0.458,3,2,2,1,40,1,0,0,2
144.086,4,2,4,375,249,3,0,0,3
210.892,4,2,3,255,57,3,0,0,3
305.538,10,2,9,84,118,15,3,3,24
385.009,5,2,10,0,23,1,1,2,6
190.869,6,2,5,255,57,6,1,0,8
230.682,7,2,4,40,97,3,3,3,12
200.772,3,2,1,375,249,0,0,1,2
158.098,23,2,25,0,17623,210,0,1,42
286.84,14,2,20,99,331,66,1,0,24
209.907,6,2,8,18,104,6,1,0,8
123.343,8,2,5,5,5,6,0,6,16
117.867,3,2,1,84,118,0,0,3,0
177.838,3,2,7,0,17623,0,0,1,2
112.328,3,2,1,5,5,0,0,1,2
407.968,11,2,8,17,17,28,0,3,24
180.598,6,2,7,0,17623,15,0,0,0
421.062,16,2,16,138,92,78,0,3,39
24.67,24,2,24,0,56,253,0,0,23
287.196,4,2,3,40,97,1,0,1,4
195.334,4,2,4,0,17623,0,6,0,0
132.145,3,2,1,138,92,0,0,1,2
116.153,7,2,10,138,92,1,2,8,10
220.042,4,2,4,375,249,1,0,1,4
160.033,4,2,2,375,249,0,2,1,3
87.422,3,2,2,255,57,0,0,1,2
21.004,12,2,24,0,23,36,0,3,27
157.201,3,2,0,40,97,0,2,1,0
157.206,3,2,0,40,97,0,0,3,0
125.466,4,3,5,111,40,3,0,0,3
238.715,14,2,12,255,57,36,6,4,45
98.466,17,2,18,138,92,55,12,3,66
15.757,6,4,6,255,57,3,0,3,9
148.252,5,3,10,111,40,3,0,1,6
120.246,6,2,6,255,57,6,1,0,8
253.827,5,2,5,138,92,1,1,2,6
120.46,3,2,3,375,249,0,0,1,2
72.886,7,2,11,138,92,6,2,1,12
301.23,3,2,3,375,249,1,0,0,2
217.965,6,2,8,40,97,6,0,1,8
42.613,3,3,2,111,40,0,0,1,2
7.866,3,2,1,84,118,0,0,1,2
321.611,9,2,11,138,92,21,1,0,14
72.386,4,4,3,255,57,1,1,0,4
0.827,3,2,6,0,17623,1,0,0,2
98.568,3,2,3,255,57,1,0,0,2
253.437,24,2,23,2,8,210,2,1,63
124.975,11,2,13,114,77,36,0,1,18
69.98,3,2,1,114,77,0,0,3,0
219.559,4,2,1,40,97,0,2,1,3
64.879,3,2,2,114,77,0,1,2,0
63.906,4,2,4,114,77,0,0,3,3
64.906,3,2,3,114,77,0,0,3,0
47.071,3,2,1,114,77,0,0,3,0
278.898,3,2,0,114,77,0,0,3,0
62.131,3,2,0,255,57,0,0,3,0
177.604,4,2,3,126,21,1,0,1,4
135.094,4,2,2,5,87,1,1,0,4
91.845,3,2,4,375,249,1,0,0,2
40.04,3,2,1,111,40,0,0,1,2
16.159,4,2,7,2,6,1,1,0,4
40.062,3,2,1,0,17623,0,0,3,0
277.931,3,2,2,0,17623,0,1,2,0
112.912,9,2,24,18,104,21,1,0,14
113.918,4,2,3,375,249,3,0,0,3
271.67,4,2,7,0,17623,0,0,6,0
124.711,5,2,5,0,17623,1,0,3,6
146.199,3,2,1,255,57,0,0,3,0
46.755,6,2,6,0,17623,10,0,0,5
134.125,6,2,6,40,97,3,1,2,9
133.138,4,2,0,40,97,0,0,6,0
0.245,3,2,2,375,249,0,0,1,2
184.123,3,1,6,33,71,0,0,1,2
246.748,5,2,4,33,71,0,1,5,4
256.818,3,2,1,114,77,0,0,3,0
134.192,3,2,5,0,17623,1,0,0,2
250.672,4,2,3,0,17623,0,1,5,0
249.922,3,2,1,114,77,0,0,3,0
169.127,4,2,3,33,71,0,1,2,3
247,3,2,2,0,17623,0,0,3,0
169.208,5,2,9,33,71,0,1,5,4
245.45,6,2,5,96,115,1,1,5,8
203.994,4,2,4,1,12,3,0,0,3
65.368,3,2,1,114,77,0,0,3,0
236.798,4,2,0,114,77,0,0,6,0
11.005,10,2,22,111,40,10,4,6,25
152.874,4,2,3,96,115,0,2,4,0
151.213,4,2,3,96,115,0,1,5,0
226.637,7,2,8,33,71,0,8,7,6
249.951,10,2,9,96,115,10,7,3,25
227.945,14,2,16,0,17623,36,5,5,45
75.141,9,2,13,138,92,15,2,1,18
220.267,8,2,8,111,40,10,1,2,15
92.099,3,2,1,40,97,0,0,3,0
211.234,3,2,2,96,115,0,0,1,2
125.948,5,2,8,375,249,3,0,1,6
140.962,5,2,7,33,71,0,2,8,0
260.282,5,2,5,96,115,1,0,3,6
197.038,4,2,2,33,71,0,0,3,3
208.641,5,2,3,0,17623,0,1,9,0
170.862,5,2,6,0,17623,1,1,2,6
118.059,6,2,12,96,115,1,2,4,8
103.137,10,2,15,40,97,28,0,1,16
12.728,4,2,10,5,5,0,0,3,3
68.613,3,2,1,114,77,0,0,3,0
201.76,4,2,1,114,77,0,0,6,0
140.638,3,2,3,33,71,0,2,1,0
196.143,4,2,0,255,57,0,0,6,0
69.485,7,2,7,40,97,6,0,3,12
194.841,5,2,2,0,17623,0,1,5,4
28.967,5,2,6,138,92,3,0,1,6
102.016,3,2,2,96,115,0,0,1,2
8.026,3,2,5,0,17623,1,0,0,2
49.131,4,2,5,0,17623,1,0,1,4
209.936,5,2,1,114,77,0,0,6,4
174.875,6,2,5,114,77,0,3,7,5
41.805,5,2,3,114,77,0,1,9,0
108.136,12,2,13,375,249,55,0,0,11
197.914,13,2,19,33,71,28,6,4,40
1.318,3,2,1,375,249,0,1,2,0
162.25,4,2,4,111,40,3,0,0,3
181.308,3,2,1,114,77,0,0,3,0
17.459,3,2,2,255,57,1,0,0,2
6.749,8,2,8,255,57,21,0,0,7
23.127,21,2,23,0,56,171,0,1,38
100.279,4,2,3,114,77,0,0,3,3
149.134,4,2,0,17,17,0,0,6,0
148.777,3,2,2,0,17623,0,0,1,2
7.426,3,2,1,138,92,0,0,1,2
146.821,3,2,0,114,77,0,0,3,0
54.801,5,2,9,96,115,3,0,1,6
4.473,3,2,1,138,92,0,0,1,2
16.009,5,2,4,6,36,3,1,0,6
54.667,3,2,5,96,115,0,0,1,2
95.486,13,2,18,96,115,45,2,1,30
135.626,5,2,2,114,77,0,0,6,4
52.691,3,2,3,96,115,0,0,3,0
100.299,3,2,0,17,17,0,0,3,0
50.061,4,2,4,96,115,1,0,1,4
133.922,3,2,0,114,77,0,0,3,0
50.068,3,2,11,96,115,0,0,3,0
121.578,5,2,5,33,71,0,0,10,0
131.756,3,2,2,114,77,0,0,3,0
120.067,4,2,1,114,77,0,0,6,0
120.519,5,2,2,33,71,0,1,5,4
120.75,4,2,0,96,115,0,0,6,0
25.98,5,2,1,40,97,0,0,6,4
112.667,6,2,4,114,77,1,0,6,8
105.943,5,2,4,17,17,0,1,5,4
100.333,4,2,1,17,17,0,0,3,3
100.334,4,2,2,17,17,0,0,3,3
103.886,5,2,3,114,77,1,0,3,6
106.644,11,2,12,5,29,21,3,3,28
103.07,3,2,1,33,71,0,0,3,0
101.266,8,2,7,114,77,10,0,3,15
81.583,3,2,4,33,71,0,0,3,0
48.096,4,2,2,5,29,1,1,0,4
113.446,18,2,21,2,8,91,2,4,56
14.844,5,2,4,96,115,0,0,6,4
96.027,6,2,4,114,77,1,0,6,8
46.703,3,2,1,5,29,0,0,1,2
2.665,3,2,3,0,17623,0,1,0,2
85.992,4,2,2,114,77,0,0,3,3
85.996,5,2,2,114,77,1,0,3,6
68.192,6,2,3,138,92,3,1,2,9
86.016,3,2,0,114,77,0,0,3,0
89.546,6,2,9,138,92,6,0,1,8
77.793,3,2,2,114,77,0,0,1,2
6.265,3,2,1,138,92,0,0,1,2
